t_iso,phase,calib,flip,stuck,mission_done,done_reason,lat,lon,dist_m,goal_deg,head_deg,err_deg,cmd_v,cmd_turn,nsat,hdop,red_ratio
2026-03-06T18:36:39,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:40,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:41,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:42,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:43,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:44,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:45,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:46,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:47,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:49,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:50,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:51,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:52,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:53,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:54,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:55,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:56,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:57,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:58,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:36:59,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:00,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:01,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:02,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:03,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:04,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:05,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:06,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:07,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:08,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:09,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:10,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:11,DROP,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:13,CALIB,0,0,0,0,RUNNING,,,,,,,0.000000,0.000000,0,,
2026-03-06T18:37:21,DONE,0,0,0,1,KEYBOARD_INTERRUPT,,,,,,,0.000000,0.000000,0,,
