time,elapsed,mode,status,lat,lon,alt,head,temp,ax,ay,az,red_p
14:31:05.329,0.1,FLIGHT,IDLE,0.00000000,0.00000000,-70.4,0.0,33.3,0.00,0.00,0.00,0.000
14:31:05.990,0.8,MELTING,HEAT_ON,0.00000000,0.00000000,-70.4,0.0,33.3,0.00,0.00,0.00,0.000
14:31:06.599,1.4,MELTING,HEAT_ON,0.00000000,0.00000000,-70.3,0.0,33.3,0.00,0.00,0.00,0.000
14:31:07.208,2.0,MELTING,HEAT_ON,0.00000000,0.00000000,-70.4,0.0,33.3,0.00,0.00,0.00,0.000
14:31:07.822,2.6,MELTING,HEAT_ON,0.00000000,0.00000000,-70.4,0.0,33.3,0.00,0.00,0.00,0.000
14:31:08.434,3.2,MELTING,HEAT_ON,0.00000000,0.00000000,-70.3,0.0,33.4,0.00,0.00,0.00,0.000
14:31:09.045,3.8,MELTING,HEAT_ON,0.00000000,0.00000000,-70.5,0.0,33.4,0.00,0.00,0.00,0.000
14:31:09.657,4.4,MELTING,HEAT_ON,0.00000000,0.00000000,-70.0,0.0,33.4,0.00,0.00,0.00,0.000
14:31:10.286,5.0,MELTING,HEAT_ON,0.00000000,0.00000000,-70.3,0.0,33.4,0.00,0.00,0.00,0.000
14:31:10.897,5.7,MELTING,HEAT_ON,0.00000000,0.00000000,-70.3,0.0,33.4,0.00,0.00,0.00,0.000
14:31:11.509,6.3,MELTING,HEAT_ON,0.00000000,0.00000000,-70.3,0.0,33.4,0.00,0.00,0.00,0.000
