seq,ph,yaw_deg,pitch_deg,roll_deg,lat_deg,lon_deg,alt_gps_m,temp_C,press_hPa,hum_pct,alt_bme_m,ax,ay,az,a
1,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.7,32.45,1023.22,27.90,-82.63,-0.360,-2.650,9.450,9.821
2,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.7,32.45,1023.22,27.90,-82.63,-0.360,-2.650,9.450,9.821
3,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.7,32.47,1023.23,27.89,-82.85,-0.380,-2.680,9.420,9.801
4,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.7,32.47,1023.23,27.89,-82.85,-0.380,-2.680,9.420,9.801
5,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.7,32.47,1023.23,27.89,-82.85,-0.380,-2.680,9.420,9.801
6,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.7,32.47,1023.23,27.81,-82.45,-0.360,-2.680,9.440,9.820
7,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.7,32.47,1023.23,27.81,-82.45,-0.360,-2.680,9.440,9.820
8,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.7,32.47,1023.23,27.81,-82.45,-0.360,-2.680,9.440,9.820
9,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.7,32.50,1023.24,27.78,-82.94,-0.370,-2.680,9.450,9.830
10,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.7,32.50,1023.24,27.78,-82.94,-0.370,-2.680,9.450,9.830
11,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.4,32.49,1023.22,27.79,-82.74,-0.390,-2.690,9.430,9.814
12,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.4,32.49,1023.22,27.79,-82.74,-0.390,-2.690,9.430,9.814
13,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.4,32.49,1023.22,27.79,-82.74,-0.390,-2.690,9.430,9.814
14,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.4,32.50,1023.26,27.92,-82.49,-0.380,-2.670,9.450,9.827
15,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.4,32.50,1023.26,27.92,-82.49,-0.380,-2.670,9.450,9.827
16,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.4,32.50,1023.26,27.92,-82.49,-0.380,-2.670,9.450,9.827
17,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.4,32.49,1023.24,27.46,-82.73,-0.390,-2.690,9.440,9.824
18,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.4,32.49,1023.24,27.46,-82.73,-0.390,-2.690,9.440,9.824
19,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.4,32.49,1023.24,27.46,-82.73,-0.390,-2.690,9.440,9.824
20,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.3,32.50,1023.21,27.66,-82.82,-0.360,-2.680,9.420,9.800
21,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.3,32.50,1023.21,27.66,-82.82,-0.360,-2.680,9.420,9.800
22,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.3,32.50,1023.21,27.66,-82.82,-0.360,-2.680,9.420,9.800
23,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.3,32.50,1023.21,28.12,-82.52,-0.370,-2.680,9.410,9.791
24,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.3,32.50,1023.21,28.12,-82.52,-0.370,-2.680,9.410,9.791
25,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.3,32.50,1023.21,28.12,-82.52,-0.370,-2.680,9.410,9.791
26,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.3,32.50,1023.22,27.99,-82.71,-0.400,-2.670,9.460,9.838
27,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.3,32.50,1023.22,27.99,-82.71,-0.400,-2.670,9.460,9.838
28,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.3,32.50,1023.22,27.99,-82.71,-0.400,-2.670,9.460,9.838
29,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.3,32.51,1023.23,27.29,-82.52,-0.370,-2.690,9.440,9.823
30,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.3,32.51,1023.23,27.29,-82.52,-0.370,-2.690,9.440,9.823
31,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.49,1023.20,27.88,-82.92,-0.390,-2.710,9.450,9.839
32,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.49,1023.20,27.88,-82.92,-0.390,-2.710,9.450,9.839
33,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.49,1023.20,27.88,-82.92,-0.390,-2.710,9.450,9.839
34,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.52,1023.17,27.63,-82.77,-0.370,-2.680,9.440,9.820
35,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.52,1023.17,27.63,-82.77,-0.370,-2.680,9.440,9.820
36,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.52,1023.17,27.63,-82.77,-0.370,-2.680,9.440,9.820
37,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.53,1023.18,27.77,-82.51,-0.360,-2.690,9.430,9.813
38,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.53,1023.18,27.77,-82.51,-0.360,-2.690,9.430,9.813
39,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.53,1023.18,27.77,-82.51,-0.360,-2.690,9.430,9.813
40,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.53,1023.21,27.37,-82.57,-0.370,-2.710,9.450,9.838
41,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.53,1023.21,27.37,-82.57,-0.370,-2.710,9.450,9.838
42,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.53,1023.21,27.37,-82.57,-0.370,-2.710,9.450,9.838
43,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.54,1023.19,27.54,-82.30,-0.390,-2.670,9.450,9.828
44,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.54,1023.19,27.54,-82.30,-0.390,-2.670,9.450,9.828
45,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.54,1023.19,27.54,-82.30,-0.390,-2.670,9.450,9.828
46,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.53,1023.22,27.29,-82.61,-0.360,-2.700,9.450,9.835
47,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.53,1023.22,27.29,-82.61,-0.360,-2.700,9.450,9.835
48,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.53,1023.22,27.29,-82.61,-0.360,-2.700,9.450,9.835
49,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.53,1023.22,27.27,-83.02,-0.350,-2.670,9.430,9.807
50,2,352.1,15.8,-2.0,30.38791583,130.94410600,-26.1,32.53,1023.22,27.27,-83.02,-0.350,-2.670,9.430,9.807
