seq,ph,yaw_deg,pitch_deg,roll_deg,lat_deg,lon_deg,alt_gps_m,temp_C,press_hPa,hum_pct,alt_bme_m,ax,ay,az,a
1,3,198.0,24.5,-74.2,30.38788900,130.94430733,5.0,32.69,1022.70,13.70,-78.21,-6.680,-2.780,4.300,8.417
2,3,199.3,47.6,-80.1,30.38788900,130.94430733,5.0,32.68,1022.73,13.77,-78.11,-9.900,-2.820,0.990,10.341
3,3,199.3,47.6,-80.1,30.38788900,130.94430733,5.0,32.68,1022.73,13.77,-78.11,-9.900,-2.820,0.990,10.341
4,3,185.6,16.5,-71.6,30.38788900,130.94430733,5.0,32.70,1022.70,13.86,-78.71,-9.310,-3.560,4.590,10.974
5,3,185.6,16.5,-71.6,30.38788900,130.94430733,5.0,32.70,1022.70,13.86,-78.71,-9.310,-3.560,4.590,10.974
6,3,177.8,6.6,-44.1,30.38788900,130.94430733,5.0,32.69,1022.71,13.78,-78.48,-4.210,-0.810,8.860,9.843
7,3,177.8,6.6,-44.1,30.38788900,130.94430733,5.0,32.69,1022.71,13.78,-78.48,-4.210,-0.810,8.860,9.843
8,3,180.0,7.6,-43.9,30.38788900,130.94430733,5.1,32.64,1022.70,13.90,-78.42,-6.970,-3.940,9.500,12.424
9,3,180.0,7.6,-43.9,30.38788900,130.94430733,5.1,32.64,1022.70,13.90,-78.42,-6.970,-3.940,9.500,12.424
10,3,180.0,7.6,-43.9,30.38788900,130.94430733,5.1,32.64,1022.70,13.90,-78.42,-6.970,-3.940,9.500,12.424
11,3,166.7,6.3,-64.8,30.38788900,130.94430733,5.1,32.57,1022.68,13.93,-78.62,-7.010,-2.810,6.050,9.677
12,3,166.7,6.3,-64.8,30.38788900,130.94430733,5.1,32.57,1022.68,13.93,-78.62,-7.010,-2.810,6.050,9.677
13,3,153.9,-179.2,-86.8,30.38788900,130.94430733,5.1,32.52,1022.72,13.93,-78.24,-11.340,-3.010,0.920,11.769
14,3,153.9,-179.2,-86.8,30.38788900,130.94430733,5.1,32.52,1022.72,13.93,-78.24,-11.340,-3.010,0.920,11.769
15,3,156.0,1.7,-87.6,30.38788900,130.94430733,5.1,32.48,1022.70,13.93,-78.68,-9.620,-2.810,1.890,10.199
16,3,156.0,1.7,-87.6,30.38788900,130.94430733,5.1,32.48,1022.70,13.93,-78.68,-9.620,-2.810,1.890,10.199
17,3,156.0,1.7,-87.6,30.38788900,130.94430733,5.1,32.48,1022.70,13.93,-78.68,-9.620,-2.810,1.890,10.199
18,3,156.2,10.1,-75.4,30.38788900,130.94430733,5.0,32.45,1022.70,13.07,-78.51,-8.090,-2.380,3.460,9.115
19,3,156.2,10.1,-75.4,30.38788900,130.94430733,5.0,32.45,1022.70,13.07,-78.51,-8.090,-2.380,3.460,9.115
20,3,157.7,15.6,-73.4,30.38788900,130.94430733,5.0,32.45,1022.71,15.48,-78.59,-8.780,-2.550,3.980,9.972
21,3,157.7,15.6,-73.4,30.38788900,130.94430733,5.0,32.45,1022.71,15.48,-78.59,-8.780,-2.550,3.980,9.972
22,3,160.9,24.5,-68.6,30.38788900,130.94430733,5.0,32.49,1022.71,13.72,-78.72,-8.710,-2.550,4.030,9.930
23,3,160.9,24.5,-68.6,30.38788900,130.94430733,5.0,32.49,1022.71,13.72,-78.72,-8.710,-2.550,4.030,9.930
24,3,160.0,-2017.0,-71.6,30.38788900,130.94430733,5.0,32.48,1022.72,13.66,-78.60,-8.460,-2.520,3.020,9.330
25,3,160.0,-2017.0,-71.6,30.38788900,130.94430733,5.0,32.48,1022.72,13.66,-78.60,-8.460,-2.520,3.020,9.330
26,3,160.0,-2017.0,-71.6,30.38788900,130.94430733,5.0,32.48,1022.72,13.66,-78.60,-8.460,-2.520,3.020,9.330
27,3,140.6,38.6,-78.6,30.38788233,130.94429533,5.0,32.50,1022.77,13.64,-78.65,-9.750,-2.510,3.280,10.589
28,3,140.6,38.6,-78.6,30.38788233,130.94429533,5.0,32.50,1022.77,13.64,-78.65,-9.750,-2.510,3.280,10.589
29,3,133.8,39.1,-80.1,30.38788233,130.94429533,5.0,32.50,1022.74,14.11,-78.95,-9.480,-2.040,2.730,10.074
30,3,133.8,39.1,-80.1,30.38788233,130.94429533,5.0,32.50,1022.74,14.11,-78.95,-9.480,-2.040,2.730,10.074
31,3,134.5,34.7,-76.6,30.38788233,130.94429533,5.0,32.51,1022.77,13.57,-78.68,-9.290,-2.440,2.900,10.033
32,3,134.5,34.7,-76.6,30.38788233,130.94429533,5.0,32.51,1022.77,13.57,-78.68,-9.290,-2.440,2.900,10.033
33,3,119.5,22.6,-72.0,30.38788233,130.94429533,5.0,32.52,1022.77,13.44,-79.27,-11.430,-3.100,6.220,13.377
34,3,119.5,22.6,-72.0,30.38788233,130.94429533,5.0,32.52,1022.77,13.44,-79.27,-11.430,-3.100,6.220,13.377
35,3,113.2,15.6,-66.4,30.38788233,130.94429533,5.0,32.54,1022.80,13.88,-79.49,-8.230,-3.420,4.720,10.085
36,3,113.2,15.6,-66.4,30.38788233,130.94429533,5.0,32.54,1022.80,13.88,-79.49,-8.230,-3.420,4.720,10.085
37,3,113.2,15.6,-66.4,30.38788233,130.94429533,5.0,32.54,1022.80,13.88,-79.49,-8.230,-3.420,4.720,10.085
38,3,113.2,15.9,-65.9,30.38788233,130.94429533,5.4,32.61,1022.89,13.78,-79.47,-8.560,-2.380,4.780,10.089
39,3,113.2,15.9,-65.9,30.38788233,130.94429533,5.4,32.61,1022.89,13.78,-79.47,-8.560,-2.380,4.780,10.089
