seq,ph,yaw_deg,pitch_deg,roll_deg,lat_deg,lon_deg,alt_gps_m,temp_C,press_hPa,hum_pct,alt_bme_m,ax,ay,az,a
1,2,230.0,6.3,-8.9,nan,nan,0.0,34.54,1022.94,24.20,-80.08,-1.320,-0.660,10.050,10.158
2,2,230.0,6.3,-8.9,nan,nan,0.0,34.54,1022.94,24.20,-80.08,-1.320,-0.660,10.050,10.158
3,2,230.0,6.3,-8.9,nan,nan,0.0,34.54,1022.94,24.20,-80.08,-1.320,-0.660,10.050,10.158
4,2,230.0,6.3,-8.9,nan,nan,0.0,34.54,1022.94,24.20,-80.08,-1.320,-0.660,10.050,10.158
5,2,238.9,7.1,-7.5,nan,nan,0.0,34.55,1022.96,23.67,-80.13,-1.840,-0.920,9.560,9.779
6,2,238.9,7.1,-7.5,nan,nan,0.0,34.55,1022.96,23.67,-80.13,-1.840,-0.920,9.560,9.779
7,2,238.9,7.1,-7.5,nan,nan,0.0,34.55,1022.96,23.67,-80.13,-1.840,-0.920,9.560,9.779
8,2,238.9,7.1,-7.5,nan,nan,0.0,34.55,1022.96,23.67,-80.13,-1.840,-0.920,9.560,9.779
9,2,247.0,9.8,-8.8,nan,nan,0.0,34.57,1022.94,24.07,-80.30,-2.660,-2.680,9.770,10.474
10,2,247.0,9.8,-8.8,nan,nan,0.0,34.57,1022.94,24.07,-80.30,-2.660,-2.680,9.770,10.474
11,2,247.0,9.8,-8.8,nan,nan,0.0,34.57,1022.94,24.07,-80.30,-2.660,-2.680,9.770,10.474
12,2,247.0,9.8,-8.8,nan,nan,0.0,34.57,1022.94,24.07,-80.30,-2.660,-2.680,9.770,10.474
13,2,247.8,11.6,-6.4,nan,nan,0.0,34.56,1022.98,24.07,-80.43,-0.840,-1.910,10.040,10.255
14,2,247.8,11.6,-6.4,nan,nan,0.0,34.56,1022.98,24.07,-80.43,-0.840,-1.910,10.040,10.255
15,2,247.8,11.6,-6.4,nan,nan,0.0,34.56,1022.98,24.07,-80.43,-0.840,-1.910,10.040,10.255
16,2,247.8,11.6,-6.4,nan,nan,0.0,34.56,1022.98,24.07,-80.43,-0.840,-1.910,10.040,10.255
17,2,258.0,8.3,-9.8,nan,nan,0.0,34.55,1023.01,24.29,-80.46,-3.480,-3.660,10.920,12.031
18,2,258.0,8.3,-9.8,nan,nan,0.0,34.55,1023.01,24.29,-80.46,-3.480,-3.660,10.920,12.031
19,2,258.0,8.3,-9.8,nan,nan,0.0,34.55,1023.01,24.29,-80.46,-3.480,-3.660,10.920,12.031
20,2,258.0,8.3,-9.8,nan,nan,0.0,34.55,1023.01,24.29,-80.46,-3.480,-3.660,10.920,12.031
21,2,271.2,9.6,-4.6,nan,nan,0.0,34.55,1023.02,24.62,-80.64,-1.660,-2.730,9.630,10.146
22,2,271.2,9.6,-4.6,nan,nan,0.0,34.55,1023.02,24.62,-80.64,-1.660,-2.730,9.630,10.146
23,2,271.2,9.6,-4.6,nan,nan,0.0,34.55,1023.02,24.62,-80.64,-1.660,-2.730,9.630,10.146
24,2,283.0,6.2,-4.5,nan,nan,0.0,34.56,1023.02,23.74,-80.69,-3.910,-2.960,10.220,11.336
25,2,283.0,6.2,-4.5,nan,nan,0.0,34.56,1023.02,23.74,-80.69,-3.910,-2.960,10.220,11.336
26,2,283.0,6.2,-4.5,nan,nan,0.0,34.56,1023.02,23.74,-80.69,-3.910,-2.960,10.220,11.336
27,2,283.0,6.2,-4.5,nan,nan,0.0,34.56,1023.02,23.74,-80.69,-3.910,-2.960,10.220,11.336
28,2,293.6,3.8,-3.2,nan,nan,0.0,34.58,1022.98,23.84,-80.61,-3.320,-2.420,10.060,10.867
29,2,293.6,3.8,-3.2,nan,nan,0.0,34.58,1022.98,23.84,-80.61,-3.320,-2.420,10.060,10.867
30,2,293.6,3.8,-3.2,nan,nan,0.0,34.58,1022.98,23.84,-80.61,-3.320,-2.420,10.060,10.867
31,2,293.6,3.8,-3.2,nan,nan,0.0,34.58,1022.98,23.84,-80.61,-3.320,-2.420,10.060,10.867
32,2,292.8,5.4,-5.8,nan,nan,0.0,34.56,1023.03,23.89,-80.64,-2.620,-2.170,9.480,10.072
33,2,292.8,5.4,-5.8,nan,nan,0.0,34.56,1023.03,23.89,-80.64,-2.620,-2.170,9.480,10.072
34,2,292.8,5.4,-5.8,nan,nan,0.0,34.56,1023.03,23.89,-80.64,-2.620,-2.170,9.480,10.072
35,2,292.8,5.4,-5.8,nan,nan,0.0,34.56,1023.03,23.89,-80.64,-2.620,-2.170,9.480,10.072
36,2,284.5,7.1,-5.2,nan,nan,0.0,34.55,1023.01,23.79,-81.02,-2.650,-2.970,8.360,9.259
37,2,284.5,7.1,-5.2,nan,nan,0.0,34.55,1023.01,23.79,-81.02,-2.650,-2.970,8.360,9.259
38,2,284.5,7.1,-5.2,nan,nan,0.0,34.55,1023.01,23.79,-81.02,-2.650,-2.970,8.360,9.259
