seq,ph,yaw_deg,pitch_deg,roll_deg,lat_deg,lon_deg,alt_gps_m,temp_C,press_hPa,hum_pct,alt_bme_m,ax,ay,az,a
1,0,0.1,15.1,0.2,30.38783350,130.94443417,7.7,37.53,1020.78,25.30,-62.52,0.030,-2.490,9.450,9.773
2,0,0.1,15.1,0.2,30.38783350,130.94443417,7.7,37.53,1020.78,25.30,-62.32,0.030,-2.490,9.450,9.773
3,0,0.1,15.1,0.2,30.38783350,130.94443417,7.7,37.53,1020.78,25.30,-62.32,0.030,-2.490,9.450,9.773
4,0,0.1,15.1,0.2,30.38783350,130.94443417,7.7,37.53,1020.78,25.30,-62.32,0.030,-2.490,9.450,9.773
5,0,0.1,15.1,0.2,30.38783350,130.94443417,7.7,37.54,1020.79,25.35,-62.47,0.050,-2.510,9.420,9.749
6,0,0.1,15.1,0.2,30.38783350,130.94443417,7.7,37.54,1020.79,25.35,-62.47,0.050,-2.510,9.420,9.749
7,0,0.1,15.1,0.2,30.38783350,130.94443417,7.7,37.54,1020.79,25.35,-62.47,0.050,-2.510,9.420,9.749
8,0,0.1,15.1,0.2,30.38783283,130.94444283,7.7,37.53,1020.78,25.33,-62.42,0.080,-2.490,9.510,9.831
9,0,0.1,15.1,0.2,30.38783283,130.94444283,7.7,37.53,1020.78,25.33,-62.42,0.080,-2.490,9.510,9.831
10,0,0.1,15.1,0.2,30.38783283,130.94444283,7.7,37.53,1020.78,25.33,-62.42,0.080,-2.490,9.510,9.831
11,0,0.1,15.1,0.2,30.38783283,130.94444283,7.7,37.54,1020.78,25.25,-62.34,0.060,-2.490,9.470,9.792
12,0,0.1,15.1,0.2,30.38783283,130.94444283,7.7,37.54,1020.78,25.25,-62.14,0.060,-2.490,9.470,9.792
13,0,0.1,15.1,0.2,30.38783283,130.94444283,7.7,37.54,1020.78,25.25,-62.14,0.060,-2.490,9.470,9.792
14,0,0.1,15.1,0.2,30.38783283,130.94444283,7.7,37.54,1020.73,25.16,-62.19,0.100,-2.510,9.430,9.759
15,0,0.1,15.1,0.2,30.38783283,130.94444283,7.7,37.54,1020.73,25.16,-61.89,0.100,-2.510,9.430,9.759
16,0,0.1,15.1,0.2,30.38783283,130.94444283,7.7,37.54,1020.73,25.16,-61.89,0.100,-2.510,9.430,9.759
17,0,0.1,15.1,0.2,30.38783283,130.94444283,7.7,37.54,1020.73,25.16,-61.89,0.100,-2.510,9.430,9.759
18,0,0.1,15.1,0.2,30.38782383,130.94444533,7.7,37.54,1020.72,25.23,-61.99,0.070,-2.480,9.450,9.770
19,0,0.1,15.1,0.2,30.38782383,130.94444533,7.7,37.54,1020.72,25.23,-61.99,0.070,-2.480,9.450,9.770
20,0,0.1,15.1,0.2,30.38782383,130.94444533,7.7,37.54,1020.72,25.23,-61.99,0.070,-2.480,9.450,9.770
21,0,0.1,15.1,0.2,30.38782383,130.94444533,7.7,37.53,1020.71,25.39,-61.86,0.050,-2.490,9.490,9.811
22,0,0.1,15.1,0.2,30.38782383,130.94444533,7.7,37.53,1020.71,25.39,-62.27,0.050,-2.490,9.490,9.811
23,0,0.1,15.1,0.2,30.38782383,130.94444533,7.7,37.53,1020.71,25.39,-62.27,0.050,-2.490,9.490,9.811
24,0,0.1,15.1,0.2,30.38782383,130.94444533,7.7,37.54,1020.72,25.23,-61.89,0.070,-2.490,9.460,9.782
25,0,0.1,15.1,0.2,30.38782383,130.94444533,7.7,37.54,1020.72,25.23,-61.95,0.070,-2.490,9.460,9.782
26,0,0.1,15.1,0.2,30.38782383,130.94444533,7.7,37.54,1020.72,25.23,-61.95,0.070,-2.490,9.460,9.782
27,0,0.1,15.1,0.2,30.38782383,130.94444533,7.7,37.54,1020.72,25.23,-61.95,0.070,-2.490,9.460,9.782
28,0,0.1,15.1,0.2,30.38781517,130.94444933,9.4,37.54,1020.69,25.19,-61.91,-0.030,-2.480,9.490,9.809
29,0,0.1,15.1,0.2,30.38781517,130.94444933,9.4,37.54,1020.69,25.19,-61.91,-0.030,-2.480,9.490,9.809
30,0,0.1,15.1,0.2,30.38781517,130.94444933,9.4,37.54,1020.69,25.19,-61.91,-0.030,-2.480,9.490,9.809
31,0,0.1,15.1,0.2,30.38781517,130.94444933,9.4,37.54,1020.71,25.18,-62.13,-0.030,-2.580,9.430,9.777
32,0,0.1,15.1,0.2,30.38781517,130.94444933,9.4,37.54,1020.71,25.18,-62.15,-0.030,-2.580,9.430,9.777
33,0,0.1,15.1,0.2,30.38781517,130.94444933,9.4,37.54,1020.71,25.18,-62.15,-0.030,-2.580,9.430,9.777
34,0,0.1,15.1,0.3,30.38781517,130.94444933,9.4,37.55,1020.71,24.81,-61.83,0.160,-2.440,9.460,9.771
35,0,0.1,15.1,0.3,30.38781517,130.94444933,9.4,37.55,1020.71,24.81,-61.97,0.160,-2.440,9.460,9.771
36,0,0.1,15.1,0.3,30.38781517,130.94444933,9.4,37.55,1020.71,24.81,-61.97,0.160,-2.440,9.460,9.771
37,0,0.1,15.1,0.3,30.38781517,130.94444933,9.4,37.55,1020.71,24.81,-61.97,0.160,-2.440,9.460,9.771
38,0,0.1,15.1,0.4,30.38781517,130.94444933,9.3,37.54,1020.73,25.23,-61.91,0.460,-2.420,9.510,9.824
39,0,0.1,15.1,0.4,30.38781517,130.94444933,9.3,37.54,1020.73,25.23,-61.91,0.460,-2.420,9.510,9.824
40,0,0.1,15.1,0.4,30.38781517,130.94444933,9.3,37.54,1020.73,25.23,-61.91,0.460,-2.420,9.510,9.824
41,0,0.2,15.1,0.3,30.38781517,130.94444933,9.3,37.55,1020.72,25.20,-61.97,0.070,-2.540,9.490,9.824
42,0,0.2,15.1,0.3,30.38781517,130.94444933,9.3,37.55,1020.72,25.20,-62.19,0.070,-2.540,9.490,9.824
43,0,0.2,15.1,0.3,30.38781517,130.94444933,9.3,37.55,1020.72,25.20,-62.19,0.070,-2.540,9.490,9.824
44,0,0.2,15.1,0.3,30.38781517,130.94444933,9.3,37.55,1020.72,25.20,-62.19,0.070,-2.540,9.490,9.824
45,0,0.2,15.0,0.3,30.38781517,130.94444933,9.3,37.55,1020.73,25.20,-62.00,0.010,-2.510,9.420,9.749
46,0,0.2,15.0,0.3,30.38781517,130.94444933,9.3,37.55,1020.73,25.20,-62.00,0.010,-2.510,9.420,9.749
47,0,0.2,15.0,0.3,30.38781517,130.94444933,9.3,37.55,1020.73,25.20,-62.00,0.010,-2.510,9.420,9.749
48,0,0.2,14.9,0.4,30.38785450,130.94446650,9.8,37.55,1020.72,25.09,-61.60,0.010,-2.500,9.400,9.727
49,0,0.2,14.9,0.4,30.38785450,130.94446650,9.8,37.55,1020.72,25.09,-61.60,0.010,-2.500,9.400,9.727
50,0,0.2,14.9,0.4,30.38785450,130.94446650,9.8,37.55,1020.72,25.09,-61.60,0.010,-2.500,9.400,9.727
51,0,0.2,14.9,0.4,30.38785450,130.94446650,9.8,37.55,1020.67,24.79,-61.69,0.010,-2.500,9.440,9.765
