seq,ph,yaw_deg,pitch_deg,roll_deg,lat_deg,lon_deg,alt_gps_m,temp_C,press_hPa,hum_pct,alt_bme_m,ax,ay,az,a
1,0,294.4,14.0,2.1,30.38790483,130.94429633,-4.2,26.74,1023.13,20.30,-82.46,0.800,-2.910,10.560,10.983
2,0,294.4,14.0,2.1,30.38790483,130.94429633,-4.2,26.74,1023.13,20.30,-82.31,0.800,-2.910,10.560,10.983
3,0,294.4,14.0,2.1,30.38790483,130.94429633,-4.2,26.74,1023.13,20.30,-82.31,0.800,-2.910,10.560,10.983
4,0,300.6,14.4,-2.0,30.38790483,130.94429633,-4.2,26.74,1023.18,20.54,-82.40,0.950,-2.030,10.680,10.913
5,0,300.6,14.4,-2.0,30.38790483,130.94429633,-4.2,26.74,1023.18,20.54,-82.08,0.950,-2.030,10.680,10.913
6,0,300.6,14.4,-2.0,30.38790483,130.94429633,-4.2,26.74,1023.18,20.54,-82.08,0.950,-2.030,10.680,10.913
7,0,300.6,14.4,-2.0,30.38790483,130.94429633,-4.2,26.74,1023.18,20.54,-82.08,0.950,-2.030,10.680,10.913
8,0,305.6,13.6,-4.6,30.38790483,130.94429633,-4.2,26.67,1023.14,20.58,-82.19,-1.590,-2.520,13.110,13.444
9,0,305.6,13.6,-4.6,30.38790483,130.94429633,-4.2,26.67,1023.14,20.58,-82.19,-1.590,-2.520,13.110,13.444
10,0,305.6,13.6,-4.6,30.38790483,130.94429633,-4.2,26.67,1023.14,20.58,-82.19,-1.590,-2.520,13.110,13.444
11,0,300.2,13.3,-2.6,30.38790483,130.94429633,-4.2,26.59,1023.13,20.60,-81.76,0.900,-2.000,9.320,9.575
12,0,300.2,13.3,-2.6,30.38790483,130.94429633,-4.2,26.59,1023.13,20.60,-81.76,0.900,-2.000,9.320,9.575
13,0,300.2,13.3,-2.6,30.38790483,130.94429633,-4.2,26.59,1023.13,20.60,-81.76,0.900,-2.000,9.320,9.575
14,0,305.6,13.3,-3.8,30.38790483,130.94429633,-4.2,26.64,1023.09,20.62,-82.09,1.700,-1.860,7.460,7.874
15,0,305.6,13.3,-3.8,30.38790483,130.94429633,-4.2,26.64,1023.09,20.62,-81.93,1.700,-1.860,7.460,7.874
16,0,305.6,13.3,-3.8,30.38790483,130.94429633,-4.2,26.64,1023.09,20.62,-81.93,1.700,-1.860,7.460,7.874
17,0,304.9,16.6,-9.5,30.38790483,130.94429633,-4.2,26.68,1023.13,20.67,-82.39,1.340,-2.240,0.980,2.788
18,0,304.9,16.6,-9.5,30.38790483,130.94429633,-4.2,26.68,1023.13,20.67,-82.30,1.340,-2.240,0.980,2.788
19,0,304.9,16.6,-9.5,30.38790483,130.94429633,-4.2,26.68,1023.13,20.67,-82.30,1.340,-2.240,0.980,2.788
20,0,304.9,16.6,-9.5,30.38790483,130.94429633,-4.2,26.68,1023.13,20.67,-82.30,1.340,-2.240,0.980,2.788
21,0,327.0,25.2,-20.2,30.38790483,130.94429633,-4.2,26.68,1023.30,20.79,-83.78,1.430,-2.420,14.850,15.114
22,0,327.0,25.2,-20.2,30.38790483,130.94429633,-4.2,26.68,1023.30,20.79,-83.78,1.430,-2.420,14.850,15.114
23,0,327.0,25.2,-20.2,30.38790483,130.94429633,-4.2,26.68,1023.30,20.79,-83.78,1.430,-2.420,14.850,15.114
