seq,ph,yaw_deg,pitch_deg,roll_deg,lat_deg,lon_deg,alt_gps_m,temp_C,press_hPa,hum_pct,alt_bme_m,ax,ay,az,a
1,0,0.0,22.2,1.4,nan,nan,0.0,33.36,1020.02,30.89,-56.37,0.020,-3.640,9.120,9.820
2,0,0.0,22.2,1.4,nan,nan,0.0,33.36,1020.02,30.89,-55.97,0.020,-3.640,9.120,9.820
3,0,0.0,22.2,1.4,nan,nan,0.0,33.36,1020.02,30.89,-55.97,0.020,-3.640,9.120,9.820
4,0,0.0,22.2,1.4,nan,nan,0.0,33.36,1020.02,30.89,-55.97,0.020,-3.640,9.120,9.820
5,0,0.0,22.2,1.6,nan,nan,0.0,33.36,1019.98,31.41,-56.04,0.430,-3.530,9.090,9.761
6,0,0.0,22.2,1.6,nan,nan,0.0,33.36,1019.98,31.41,-56.04,0.430,-3.530,9.090,9.761
7,0,0.0,22.2,1.6,nan,nan,0.0,33.36,1019.98,31.41,-56.04,0.430,-3.530,9.090,9.761
8,0,359.9,22.2,1.3,nan,nan,0.0,33.36,1019.97,30.78,-55.78,0.450,-3.850,9.010,9.808
9,0,359.9,22.2,1.3,nan,nan,0.0,33.36,1019.97,30.78,-55.73,0.450,-3.850,9.010,9.808
10,0,359.9,22.2,1.3,nan,nan,0.0,33.36,1019.97,30.78,-55.73,0.450,-3.850,9.010,9.808
11,0,359.9,22.3,1.3,nan,nan,0.0,33.37,1019.97,31.52,-55.94,0.120,-3.730,9.110,9.845
12,0,359.9,22.3,1.3,nan,nan,0.0,33.37,1019.97,31.52,-56.03,0.120,-3.730,9.110,9.845
13,0,359.9,22.3,1.3,nan,nan,0.0,33.37,1019.97,31.52,-56.03,0.120,-3.730,9.110,9.845
14,0,359.9,22.3,1.3,nan,nan,0.0,33.37,1019.97,31.52,-56.03,0.120,-3.730,9.110,9.845
15,0,359.9,22.2,2.1,nan,nan,0.0,33.40,1020.00,31.22,-55.96,0.240,-3.570,8.990,9.676
16,0,359.9,22.2,2.1,nan,nan,0.0,33.40,1020.00,31.22,-55.96,0.240,-3.570,8.990,9.676
17,0,359.9,22.2,2.1,nan,nan,0.0,33.40,1020.00,31.22,-55.96,0.240,-3.570,8.990,9.676
18,0,359.7,21.4,4.1,nan,nan,0.0,33.40,1019.98,31.80,-55.83,0.530,-3.580,8.790,9.506
19,0,359.7,21.4,4.1,nan,nan,0.0,33.40,1019.98,31.80,-55.83,0.530,-3.580,8.790,9.506
20,0,359.7,21.4,4.1,nan,nan,0.0,33.40,1019.98,31.80,-55.83,0.530,-3.580,8.790,9.506
21,0,359.4,20.9,5.0,nan,nan,0.0,33.41,1019.95,31.96,-55.97,0.900,-3.750,9.120,9.902
22,0,359.4,20.9,5.0,nan,nan,0.0,33.41,1019.95,31.96,-55.75,0.900,-3.750,9.120,9.902
23,0,359.4,20.9,5.0,nan,nan,0.0,33.41,1019.95,31.96,-55.75,0.900,-3.750,9.120,9.902
24,0,355.8,10.5,7.0,nan,nan,0.0,33.42,1019.95,32.44,-55.76,1.380,-1.010,11.260,11.389
