seq,ph,yaw_deg,pitch_deg,roll_deg,lat_deg,lon_deg,alt_gps_m,temp_C,press_hPa,hum_pct,alt_bme_m,ax,ay,az,a
1,0,49.1,9.1,19.8,30.38801550,130.94430717,0.2,38.66,1019.14,22.94,-49.14,3.240,-1.470,9.130,9.799
2,0,49.1,9.1,19.8,30.38801550,130.94430717,0.2,38.66,1019.14,22.94,-48.58,3.240,-1.470,9.130,9.799
3,0,49.1,9.1,19.8,30.38801550,130.94430717,0.2,38.66,1019.14,22.94,-48.58,3.240,-1.470,9.130,9.799
4,0,49.1,9.1,19.8,30.38801550,130.94430717,0.2,38.66,1019.14,22.94,-48.58,3.240,-1.470,9.130,9.799
5,0,49.5,8.8,19.1,30.38801550,130.94430717,0.2,38.66,1019.17,22.63,-49.05,2.950,-1.490,8.990,9.578
6,0,49.5,8.8,19.1,30.38801550,130.94430717,0.2,38.66,1019.17,22.63,-49.05,2.950,-1.490,8.990,9.578
7,0,49.5,8.8,19.1,30.38801550,130.94430717,0.2,38.66,1019.17,22.63,-49.05,2.950,-1.490,8.990,9.578
8,0,49.6,8.9,19.1,30.38801550,130.94430717,-1.0,38.67,1019.14,22.99,-48.79,3.050,-1.510,9.030,9.650
9,0,49.6,8.9,19.1,30.38801550,130.94430717,-1.0,38.67,1019.14,22.99,-48.81,3.050,-1.510,9.030,9.650
10,0,49.6,8.9,19.1,30.38801550,130.94430717,-1.0,38.67,1019.14,22.99,-48.81,3.050,-1.510,9.030,9.650
11,0,49.6,8.9,19.1,30.38801550,130.94430717,-1.0,38.67,1019.14,22.99,-48.81,3.050,-1.510,9.030,9.650
12,0,49.7,8.9,18.9,30.38801550,130.94430717,-1.0,38.68,1019.15,23.37,-49.20,3.040,-1.460,9.040,9.649
13,0,49.7,8.9,18.9,30.38801550,130.94430717,-1.0,38.68,1019.15,23.37,-49.20,3.040,-1.460,9.040,9.649
14,0,49.7,8.9,18.9,30.38801550,130.94430717,-1.0,38.68,1019.15,23.37,-49.20,3.040,-1.460,9.040,9.649
15,0,49.9,8.8,19.1,30.38801550,130.94430717,-1.0,38.68,1019.12,23.12,-48.91,3.010,-1.430,8.990,9.588
16,0,49.9,8.8,19.1,30.38801550,130.94430717,-1.0,38.68,1019.12,23.12,-48.91,3.010,-1.430,8.990,9.588
17,0,49.9,8.8,19.1,30.38801550,130.94430717,-1.0,38.68,1019.12,23.12,-48.91,3.010,-1.430,8.990,9.588
18,0,49.9,8.8,19.0,30.38801550,130.94430717,-1.0,38.65,1019.14,23.36,-49.04,2.970,-1.430,9.070,9.650
19,0,49.9,8.8,19.0,30.38801550,130.94430717,-1.0,38.65,1019.14,23.36,-49.29,2.970,-1.430,9.070,9.650
20,0,49.9,8.8,19.0,30.38801550,130.94430717,-1.0,38.65,1019.14,23.36,-49.29,2.970,-1.430,9.070,9.650
21,0,49.9,8.8,19.0,30.38801550,130.94430717,-1.0,38.65,1019.14,23.36,-49.29,2.970,-1.430,9.070,9.650
22,0,50.1,8.6,18.9,30.38801550,130.94430717,-1.0,38.68,1019.15,22.83,-48.59,3.090,-1.370,9.030,9.642
23,0,50.1,8.6,18.9,30.38801550,130.94430717,-1.0,38.68,1019.15,22.83,-48.59,3.090,-1.370,9.030,9.642
24,0,50.1,8.6,18.9,30.38801550,130.94430717,-1.0,38.68,1019.15,22.83,-48.59,3.090,-1.370,9.030,9.642
25,0,50.2,8.6,18.8,30.38801550,130.94430717,-1.0,38.68,1019.17,23.28,-49.08,3.020,-1.420,8.980,9.580
