seq,ph,yaw_deg,pitch_deg,roll_deg,lat_deg,lon_deg,alt_gps_m,temp_C,press_hPa,hum_pct,alt_bme_m,ax,ay,az,a
1,0,11.4,18.8,-10.6,30.38787250,130.94427567,-1.5,22.15,1020.41,29.97,-59.53,-1.850,-3.190,9.160,9.874
2,0,11.4,18.8,-10.6,30.38787250,130.94427567,-1.5,22.15,1020.41,29.97,-59.53,-1.850,-3.190,9.160,9.874
3,0,11.4,18.8,-10.6,30.38787250,130.94427567,-1.5,22.15,1020.41,29.97,-59.53,-1.850,-3.190,9.160,9.874
4,0,12.4,18.6,-10.9,30.38789167,130.94425883,-1.5,22.15,1020.47,29.99,-59.64,-1.970,-3.070,9.080,9.785
5,0,12.4,18.6,-10.9,30.38789167,130.94425883,-1.5,22.15,1020.47,29.99,-59.64,-1.970,-3.070,9.080,9.785
6,0,12.4,18.6,-10.9,30.38789167,130.94425883,-1.5,22.15,1020.47,29.99,-59.64,-1.970,-3.070,9.080,9.785
7,0,14.0,18.4,-9.9,30.38789167,130.94425883,-1.5,22.15,1020.42,30.11,-59.74,-1.970,-3.150,9.280,9.996
8,0,14.0,18.4,-9.9,30.38789167,130.94425883,-1.5,22.15,1020.42,30.11,-59.76,-1.970,-3.150,9.280,9.996
9,0,14.0,18.4,-9.9,30.38789167,130.94425883,-1.5,22.15,1020.42,30.11,-59.76,-1.970,-3.150,9.280,9.996
10,0,14.2,18.3,-10.3,30.38789167,130.94425883,-1.5,22.09,1020.43,30.47,-59.82,-1.940,-3.050,9.140,9.829
11,0,14.2,18.3,-10.3,30.38789167,130.94425883,-1.5,22.09,1020.43,30.47,-59.68,-1.940,-3.050,9.140,9.829
12,0,14.2,18.3,-10.3,30.38789167,130.94425883,-1.5,22.09,1020.43,30.47,-59.68,-1.940,-3.050,9.140,9.829
13,0,14.2,18.3,-10.3,30.38789167,130.94425883,-1.5,22.09,1020.43,30.47,-59.68,-1.940,-3.050,9.140,9.829
14,0,14.7,18.6,-10.3,30.38789167,130.94425883,-2.0,22.06,1020.43,30.44,-59.63,-2.010,-2.980,9.260,9.933
15,0,14.7,18.6,-10.3,30.38789167,130.94425883,-2.0,22.06,1020.43,30.44,-59.63,-2.010,-2.980,9.260,9.933
16,0,14.7,18.6,-10.3,30.38789167,130.94425883,-2.0,22.06,1020.43,30.44,-59.63,-2.010,-2.980,9.260,9.933
17,0,15.0,18.9,-10.3,30.38789167,130.94425883,-2.0,22.10,1020.46,30.28,-59.91,-1.950,-3.210,9.270,10.002
18,0,15.0,18.9,-10.3,30.38789167,130.94425883,-2.0,22.10,1020.46,30.28,-59.91,-1.950,-3.210,9.270,10.002
