seq,ph,yaw_deg,pitch_deg,roll_deg,lat_deg,lon_deg,alt_gps_m,temp_C,press_hPa,hum_pct,alt_bme_m,ax,ay,az,a
1,2,352.4,16.1,-2.8,30.38625033,130.94319667,-11.7,35.80,1023.62,22.24,-85.65,0.000,0.000,0.000,0.000
2,2,352.4,16.1,-2.8,30.38625033,130.94319667,-11.7,35.81,1023.58,22.45,-85.73,-0.440,-2.720,9.410,9.805
3,2,352.4,16.1,-2.8,30.38625033,130.94319667,-11.7,35.81,1023.58,22.45,-85.73,-0.440,-2.720,9.410,9.805
4,2,352.4,16.1,-2.8,30.38625033,130.94319667,-11.7,35.81,1023.58,22.45,-85.73,-0.440,-2.720,9.410,9.805
5,2,352.4,16.1,-2.8,30.38625033,130.94319667,-11.7,35.82,1023.58,22.50,-85.62,-0.480,-2.730,9.430,9.829
6,2,352.4,16.1,-2.8,30.38625033,130.94319667,-11.7,35.82,1023.58,22.50,-85.62,-0.480,-2.730,9.430,9.829
7,2,352.4,16.1,-2.8,30.38625033,130.94319667,-11.7,35.82,1023.58,22.50,-85.62,-0.480,-2.730,9.430,9.829
8,2,352.4,16.1,-10.8,30.38672483,130.94313350,-16.0,35.83,1023.57,22.22,-85.65,-0.470,-2.720,9.430,9.826
9,2,352.4,16.1,-10.8,30.38672483,130.94313350,-16.0,35.83,1023.57,22.22,-85.65,-0.470,-2.720,9.430,9.826
10,2,0.0,16.1,-2.8,30.38672483,130.94313350,-16.0,35.84,1023.57,22.45,-85.37,-0.480,-2.740,9.390,9.793
11,2,352.4,16.1,-2.8,30.38672483,130.94313350,-16.0,35.84,1023.57,22.45,-85.37,-0.480,-2.740,9.390,9.793
12,2,352.4,16.1,-2.8,30.38672483,130.94313350,-16.0,35.84,1023.57,22.45,-85.37,-0.480,-2.740,9.390,9.793
13,2,0.0,16.1,-2.8,30.38672483,130.94313350,-16.0,35.83,1023.60,22.28,-85.81,-0.470,-2.710,9.400,9.794
14,2,352.4,16.1,-2.8,30.38672483,130.94313350,-16.0,35.83,1023.60,22.28,-85.81,-0.470,-2.710,9.400,9.794
15,2,352.4,16.1,-2.8,30.38672483,130.94313350,-16.0,35.83,1023.60,22.28,-85.81,-0.470,-2.710,9.400,9.794
16,2,0.0,16.1,-2.8,30.38672483,130.94313350,-16.0,35.82,1023.60,22.33,-85.62,-0.480,-2.720,9.420,9.817
17,2,352.4,16.1,-2.8,30.38672483,130.94313350,-16.0,35.82,1023.60,22.33,-85.62,-0.480,-2.720,9.420,9.817
18,2,352.4,16.1,-2.8,30.38672483,130.94313350,-16.0,35.82,1023.60,22.33,-85.62,-0.480,-2.720,9.420,9.817
19,2,0.0,16.1,-2.8,30.38672483,130.94313350,-16.0,35.82,1023.57,22.34,-85.57,-0.470,-2.720,9.440,9.835
20,2,352.4,16.1,-2.8,30.38672483,130.94313350,-16.0,35.82,1023.57,22.34,-85.57,-0.470,-2.720,9.440,9.835
21,2,352.4,16.1,-2.8,30.38672483,130.94313350,-16.0,35.82,1023.57,22.34,-85.57,-0.470,-2.720,9.440,9.835
22,2,352.4,16.1,-2.8,30.38672483,130.94313350,-16.0,35.82,1023.60,21.97,-85.74,-0.460,-2.720,9.420,9.816
23,2,352.4,16.1,-2.8,30.38672483,130.94313350,-16.0,35.82,1023.60,21.97,-85.74,-0.460,-2.720,9.420,9.816
24,2,352.4,16.1,-2.8,30.38672483,130.94313350,-16.0,35.82,1023.60,21.97,-85.74,-0.460,-2.720,9.420,9.816
