seq,ph,yaw_deg,pitch_deg,roll_deg,lat_deg,lon_deg,alt_gps_m,temp_C,press_hPa,hum_pct,alt_bme_m,ax,ay,az,a
1,2,353.2,14.3,10.4,30.38785383,130.94444767,4.4,24.55,1023.68,23.11,-86.85,0.210,-1.660,11.180,11.305
2,2,357.5,13.2,12.9,30.38785383,130.94444767,4.4,24.52,1023.69,23.00,-86.67,0.320,-2.000,10.620,10.811
3,2,357.5,13.2,12.9,30.38785383,130.94444767,4.4,24.52,1023.69,23.00,-86.67,0.320,-2.000,10.620,10.811
4,2,357.5,13.2,12.9,30.38785383,130.94444767,4.4,24.52,1023.69,23.00,-86.67,0.320,-2.000,10.620,10.811
5,2,4.7,14.9,14.6,30.38784050,130.94445383,4.4,24.52,1023.65,23.01,-86.50,1.010,-2.410,11.170,11.472
6,2,4.7,14.9,14.6,30.38784050,130.94445383,4.4,24.52,1023.65,23.01,-86.50,1.010,-2.410,11.170,11.472
7,2,4.7,14.9,14.6,30.38784050,130.94445383,4.4,24.52,1023.65,23.01,-86.50,1.010,-2.410,11.170,11.472
8,2,9.0,18.6,14.9,30.38784050,130.94445383,4.4,24.48,1023.70,23.19,-86.36,0.970,-3.000,9.700,10.200
9,2,9.0,18.6,14.9,30.38784050,130.94445383,4.4,24.48,1023.70,23.19,-86.36,0.970,-3.000,9.700,10.200
10,2,9.0,18.6,14.9,30.38784050,130.94445383,4.4,24.48,1023.70,23.19,-86.36,0.970,-3.000,9.700,10.200
11,2,10.5,19.4,18.9,30.38784050,130.94445383,4.4,24.47,1023.68,23.15,-86.08,2.290,-4.080,9.430,10.527
12,2,10.5,19.4,18.9,30.38784050,130.94445383,4.4,24.47,1023.68,23.15,-86.08,2.290,-4.080,9.430,10.527
13,2,10.5,19.4,18.9,30.38784050,130.94445383,4.4,24.47,1023.68,23.15,-86.08,2.290,-4.080,9.430,10.527
14,2,8.7,21.3,16.2,30.38784050,130.94445383,4.6,24.50,1023.61,22.93,-86.20,2.140,-3.890,9.080,10.107
15,2,8.7,21.3,16.2,30.38784050,130.94445383,4.6,24.50,1023.61,22.93,-86.20,2.140,-3.890,9.080,10.107
16,2,17.8,19.6,12.1,30.38784050,130.94445383,4.6,24.49,1023.63,23.31,-86.60,0.830,-3.550,9.910,10.559
17,2,10.5,19.6,12.1,30.38784050,130.94445383,4.6,24.49,1023.63,23.31,-86.60,0.830,-3.550,9.910,10.559
18,2,10.5,19.6,12.1,30.38784050,130.94445383,4.6,24.49,1023.63,23.31,-86.60,0.830,-3.550,9.910,10.559
19,2,12.7,23.1,6.8,30.38784050,130.94445383,4.6,24.49,1023.66,23.00,-86.16,0.010,-4.410,9.070,10.085
20,2,12.7,23.1,6.8,30.38784050,130.94445383,4.6,24.49,1023.66,23.00,-86.16,0.010,-4.410,9.070,10.085
21,2,12.7,23.1,6.8,30.38784050,130.94445383,4.6,24.49,1023.66,23.00,-86.16,0.010,-4.410,9.070,10.085
22,2,15.2,18.6,4.8,30.38784050,130.94445383,4.6,24.49,1023.66,23.21,-86.06,0.050,-3.450,9.590,10.192
23,2,15.2,18.6,4.8,30.38784050,130.94445383,4.6,24.49,1023.66,23.21,-86.06,0.050,-3.450,9.590,10.192
24,2,15.2,18.6,4.8,30.38784050,130.94445383,4.6,24.49,1023.66,23.21,-86.06,0.050,-3.450,9.590,10.192
25,2,13.2,19.6,1.9,30.38783783,130.94445633,4.6,24.47,1023.64,23.26,-85.89,0.560,-4.250,9.470,10.395
26,2,13.2,19.6,1.9,30.38783783,130.94445633,4.6,24.47,1023.64,23.26,-85.89,0.560,-4.250,9.470,10.395
27,2,13.2,19.6,1.9,30.38783783,130.94445633,4.6,24.47,1023.64,23.26,-85.89,0.560,-4.250,9.470,10.395
28,2,14.3,16.6,-0.6,30.38783783,130.94445633,4.6,24.47,1023.61,23.14,-85.89,-0.530,-2.730,9.590,9.985
29,2,14.3,16.6,-0.6,30.38783783,130.94445633,4.6,24.47,1023.61,23.14,-85.89,-0.530,-2.730,9.590,9.985
30,2,14.3,16.6,-0.6,30.38783783,130.94445633,4.6,24.47,1023.61,23.14,-85.89,-0.530,-2.730,9.590,9.985
31,2,17.1,17.6,-0.9,30.38783783,130.94445633,4.6,24.47,1023.62,23.26,-85.99,-0.350,-2.820,9.450,9.868
32,2,17.1,17.6,-0.9,30.38783783,130.94445633,4.6,24.47,1023.62,23.26,-85.99,-0.350,-2.820,9.450,9.868
33,2,17.1,17.6,-0.9,30.38783783,130.94445633,4.6,24.47,1023.62,23.26,-85.99,-0.350,-2.820,9.450,9.868
34,2,22.3,-2025.6,2.1,30.38783783,130.94445633,4.5,24.48,1023.64,23.30,-85.89,-0.090,-4.030,9.350,10.182
35,2,22.3,-2025.6,2.1,30.38783783,130.94445633,4.5,24.48,1023.64,23.30,-85.89,-0.090,-4.030,9.350,10.182
36,2,22.3,-2025.6,2.1,30.38783783,130.94445633,4.5,24.48,1023.64,23.30,-85.89,-0.090,-4.030,9.350,10.182
37,2,25.6,21.0,4.2,30.38783783,130.94445633,4.5,24.44,1023.67,23.16,-86.08,0.560,-3.720,9.500,10.218
38,2,25.6,21.0,4.2,30.38783783,130.94445633,4.5,24.44,1023.67,23.16,-86.08,0.560,-3.720,9.500,10.218
39,2,25.2,22.9,1.9,30.38783783,130.94445633,4.5,24.37,1023.67,23.41,-86.20,-0.170,-4.270,9.190,10.135
40,2,25.2,22.9,1.9,30.38783783,130.94445633,4.5,24.37,1023.67,23.41,-86.20,-0.170,-4.270,9.190,10.135
41,2,25.2,22.9,1.9,30.38783783,130.94445633,4.5,24.37,1023.67,23.41,-86.20,-0.170,-4.270,9.190,10.135
42,2,22.6,20.1,0.9,30.38783783,130.94445633,4.5,24.31,1023.64,23.45,-86.10,-0.600,-3.270,9.240,9.820
43,2,22.6,20.1,0.9,30.38783783,130.94445633,4.5,24.31,1023.64,23.45,-86.10,-0.600,-3.270,9.240,9.820
44,2,22.6,20.1,0.9,30.38783783,130.94445633,4.5,24.31,1023.64,23.45,-86.10,-0.600,-3.270,9.240,9.820
45,2,22.8,20.8,2.1,30.38783783,130.94445633,4.2,24.29,1023.64,23.33,-86.50,0.410,-3.200,9.570,10.099
46,2,22.8,20.8,2.1,30.38783783,130.94445633,4.2,24.29,1023.64,23.33,-86.50,0.410,-3.200,9.570,10.099
47,2,22.8,20.8,2.1,30.38783783,130.94445633,4.2,24.29,1023.64,23.33,-86.50,0.410,-3.200,9.570,10.099
48,2,25.5,17.4,-0.6,30.38783783,130.94445633,4.2,24.27,1023.65,23.29,-86.22,-0.220,-3.090,9.660,10.145
