seq,ph,yaw_deg,pitch_deg,roll_deg,lat_deg,lon_deg,alt_gps_m,temp_C,press_hPa,hum_pct,alt_bme_m,ax,ay,az,a
1,0,356.6,22.3,-2.0,30.38801100,130.94433467,-116.1,38.85,1019.08,22.56,-48.65,-0.680,-3.960,8.690,9.574
2,0,356.6,22.3,-2.0,30.38801100,130.94433467,-116.1,38.85,1019.08,22.56,-48.65,-0.680,-3.960,8.690,9.574
3,0,356.6,22.3,-2.0,30.38801100,130.94433467,-116.1,38.85,1019.08,22.56,-48.65,-0.680,-3.960,8.690,9.574
4,0,356.6,22.3,-2.0,30.38801100,130.94433467,-116.1,38.85,1019.08,22.56,-48.65,-0.680,-3.960,8.690,9.574
5,0,357.0,20.9,-2.2,30.38801100,130.94433467,-119.3,38.85,1019.07,22.39,-48.46,-0.320,-3.390,9.070,9.688
6,0,357.0,20.9,-2.2,30.38801100,130.94433467,-119.3,38.85,1019.07,22.39,-48.46,-0.320,-3.390,9.070,9.688
7,0,357.0,20.9,-2.2,30.38801100,130.94433467,-119.3,38.85,1019.07,22.39,-48.46,-0.320,-3.390,9.070,9.688
8,0,356.3,21.2,-2.1,30.38801100,130.94433467,-119.3,38.85,1019.09,22.55,-48.57,0.090,-3.390,9.250,9.852
9,0,356.3,21.2,-2.1,30.38801100,130.94433467,-119.3,38.85,1019.09,22.55,-48.56,0.090,-3.390,9.250,9.852
10,0,356.3,21.2,-2.1,30.38801100,130.94433467,-119.3,38.85,1019.09,22.55,-48.56,0.090,-3.390,9.250,9.852
11,0,357.4,22.2,-1.6,30.38801100,130.94433467,-119.3,38.85,1019.11,22.72,-48.83,-0.440,-3.940,9.060,9.889
12,0,357.4,22.2,-1.6,30.38801100,130.94433467,-119.3,38.85,1019.11,22.72,-48.68,-0.440,-3.940,9.060,9.889
13,0,357.4,22.2,-1.6,30.38801100,130.94433467,-119.3,38.85,1019.11,22.72,-48.68,-0.440,-3.940,9.060,9.889
14,0,357.4,22.2,-1.6,30.38801100,130.94433467,-119.3,38.85,1019.11,22.72,-48.68,-0.440,-3.940,9.060,9.889
15,0,357.2,21.1,-1.8,30.38801100,130.94433467,-119.7,38.86,1019.10,22.59,-48.65,-0.320,-3.250,9.270,9.828
16,0,357.2,21.1,-1.8,30.38801100,130.94433467,-119.7,38.86,1019.10,22.59,-48.65,-0.320,-3.250,9.270,9.828
17,0,357.2,21.1,-1.8,30.38801100,130.94433467,-119.7,38.86,1019.10,22.59,-48.65,-0.320,-3.250,9.270,9.828
18,0,357.8,21.6,-1.2,30.38801100,130.94433467,-119.7,38.88,1019.10,22.63,-48.73,0.040,-3.950,9.120,9.939
19,0,357.8,21.6,-1.2,30.38801100,130.94433467,-119.7,38.88,1019.10,22.63,-48.73,0.040,-3.950,9.120,9.939
20,0,357.8,21.6,-1.2,30.38801100,130.94433467,-119.7,38.88,1019.10,22.63,-48.73,0.040,-3.950,9.120,9.939
21,0,359.6,18.4,0.3,30.38801100,130.94433467,-119.7,38.86,1019.10,22.21,-48.58,0.140,-3.160,9.230,9.757
22,0,359.6,18.4,0.3,30.38801100,130.94433467,-119.7,38.86,1019.10,22.21,-48.56,0.140,-3.160,9.230,9.757
23,0,359.6,18.4,0.3,30.38801100,130.94433467,-119.7,38.86,1019.10,22.21,-48.56,0.140,-3.160,9.230,9.757
24,0,357.9,20.0,0.2,30.38798017,130.94430533,-119.7,38.87,1019.10,22.65,-48.63,-0.110,-3.470,9.250,9.880
25,0,357.9,20.0,0.2,30.38798017,130.94430533,-119.7,38.87,1019.10,22.65,-48.69,-0.110,-3.470,9.250,9.880
26,0,357.9,20.0,0.2,30.38798017,130.94430533,-119.7,38.87,1019.10,22.65,-48.69,-0.110,-3.470,9.250,9.880
27,0,357.9,20.0,0.2,30.38798017,130.94430533,-119.7,38.87,1019.10,22.65,-48.69,-0.110,-3.470,9.250,9.880
28,0,357.5,17.8,-0.1,30.38798017,130.94430533,-119.7,38.90,1019.09,22.79,-48.46,-0.080,-2.760,9.240,9.644
29,0,357.5,17.8,-0.1,30.38798017,130.94430533,-119.7,38.90,1019.09,22.79,-48.46,-0.080,-2.760,9.240,9.644
30,0,357.5,17.8,-0.1,30.38798017,130.94430533,-119.7,38.90,1019.09,22.79,-48.46,-0.080,-2.760,9.240,9.644
31,0,353.8,18.6,-1.8,30.38798017,130.94430533,-119.7,38.89,1019.10,22.79,-48.73,-0.160,-2.900,9.020,9.476
32,0,353.8,18.6,-1.8,30.38798017,130.94430533,-119.7,38.89,1019.10,22.79,-48.70,-0.160,-2.900,9.020,9.476
33,0,353.8,18.6,-1.8,30.38798017,130.94430533,-119.7,38.89,1019.10,22.79,-48.70,-0.160,-2.900,9.020,9.476
34,0,355.3,16.4,0.8,30.38798017,130.94430533,-119.7,38.90,1019.10,22.97,-48.55,0.260,-2.610,9.330,9.692
35,0,355.3,16.4,0.8,30.38798017,130.94430533,-119.7,38.90,1019.10,22.97,-48.54,0.260,-2.610,9.330,9.692
36,0,355.3,16.4,0.8,30.38798017,130.94430533,-119.7,38.90,1019.10,22.97,-48.54,0.260,-2.610,9.330,9.692
37,0,355.3,16.4,0.8,30.38798017,130.94430533,-119.7,38.90,1019.10,22.97,-48.54,0.260,-2.610,9.330,9.692
38,0,353.5,19.5,1.1,30.38798017,130.94430533,-119.7,38.90,1019.14,22.61,-48.79,0.290,-3.370,9.280,9.877
39,0,353.5,19.5,1.1,30.38798017,130.94430533,-119.7,38.90,1019.14,22.61,-48.79,0.290,-3.370,9.280,9.877
40,0,353.5,19.5,1.1,30.38798017,130.94430533,-119.7,38.90,1019.14,22.61,-48.79,0.290,-3.370,9.280,9.877
41,0,354.8,19.1,2.4,30.38798017,130.94430533,-119.7,38.92,1019.12,22.59,-48.60,0.410,-3.200,9.260,9.806
42,0,354.8,19.1,2.4,30.38798017,130.94430533,-119.7,38.92,1019.12,22.59,-48.60,0.410,-3.200,9.260,9.806
43,0,354.8,19.1,2.4,30.38798017,130.94430533,-119.7,38.92,1019.12,22.59,-48.60,0.410,-3.200,9.260,9.806
44,0,354.7,18.5,3.3,30.38798017,130.94430533,-120.7,38.91,1019.14,22.46,-48.83,0.580,-3.030,9.280,9.779
45,0,354.7,18.5,3.3,30.38798017,130.94430533,-120.7,38.91,1019.14,22.46,-49.12,0.580,-3.030,9.280,9.779
46,0,354.7,18.5,3.3,30.38798017,130.94430533,-120.7,38.91,1019.14,22.46,-49.12,0.580,-3.030,9.280,9.779
47,0,354.7,18.5,3.3,30.38798017,130.94430533,-120.7,38.91,1019.14,22.46,-49.12,0.580,-3.030,9.280,9.779
48,0,354.8,18.3,3.8,30.38798017,130.94430533,-120.7,38.93,1019.10,22.49,-49.03,0.630,-2.940,9.210,9.688
49,0,354.8,18.3,3.8,30.38798017,130.94430533,-120.7,38.93,1019.10,22.49,-49.03,0.630,-2.940,9.210,9.688
50,0,354.8,18.3,3.8,30.38798017,130.94430533,-120.7,38.93,1019.10,22.49,-49.03,0.630,-2.940,9.210,9.688
51,0,355.1,19.2,3.7,30.38798017,130.94430533,-120.7,38.93,1019.13,22.80,-48.71,0.810,-3.270,9.190,9.788
52,0,355.1,19.2,3.7,30.38798017,130.94430533,-120.7,38.93,1019.13,22.80,-48.71,0.810,-3.270,9.190,9.788
53,0,355.4,20.4,2.5,30.38798017,130.94430533,-118.7,38.96,1019.16,23.03,-48.93,2.240,-3.530,9.120,10.033
54,0,355.4,20.4,2.5,30.38798017,130.94430533,-118.7,38.96,1019.16,23.03,-48.93,2.240,-3.530,9.120,10.033
55,0,355.4,20.4,2.5,30.38798017,130.94430533,-118.7,38.96,1019.16,23.03,-48.93,2.240,-3.530,9.120,10.033
56,0,356.4,19.8,1.6,30.38798017,130.94430533,-118.7,38.98,1019.15,22.70,-49.05,-3.070,-3.450,9.580,10.635
